danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster,id
0.334,0.476,-8.884,0.0305,0.336,8.94e-05,0.192,0.129,79.359,265013,2,016s5fyl1j1Y5k9b6quMSI
0.779,0.795,-7.51,0.266,0.0171,0.0,0.0921,0.683,93.942,250907,1,017GzE58P4jNjqO7uls7M4
0.365,0.258,-18.963,0.0446,0.937,0.249,0.342,0.185,81.282,95680,4,017qnqZ574CN0x5QBgxPbj
0.76,0.524,-7.327,0.0265,0.272,0.00148,0.104,0.744,114.069,163907,1,0184cc4SRW7zVafrYR8I7U
0.444,0.398,-8.01,0.03,0.799,0.0,0.114,0.361,79.874,228147,2,018Idkvf82hi44UZmIXiGB
0.968,0.451,-14.386,0.538,0.0847,1.98e-05,0.092,0.788,126.069,110132,1,018pMkBnWM0DBeH1ChL06R
0.413,0.99,-6.473,0.422,0.0319,0.0,0.316,0.0632,140.042,222400,0,01910sah5k4Dvu5b2Xcjcp
0.68,0.111,-20.772,0.846,0.889,2.84e-05,0.19,0.681,100.287,47933,3,019BLz2xX1sLikOhGwBPzb
0.0867,0.0125,-34.096,0.0463,0.993,0.983,0.0619,0.037,66.945,147136,4,019BTPndXWHWyntcFBe2ch
0.458,0.993,-4.048,0.102,3.38e-05,0.355,0.193,0.232,162.942,327760,0,019HPbRh9BvRSrCvJqd6Ql
0.529,0.963,-5.602,0.0618,4e-05,0.0,0.395,0.324,114.977,264453,0,019K6vknNYR1ZYcSsmNd1u
0.659,0.628,-5.156,0.0328,0.000353,0.0141,0.538,0.508,114.816,180186,0,019y7rY3RXDLVl08BT204z
0.924,0.485,-8.985,0.082,0.105,0.0,0.076,0.325,120.034,234787,1,01ADMjKzsqzXYN7Ddtu1cl
0.0639,0.552,-30.88,0.105,0.516,0.952,0.864,0.0306,56.653,256509,4,01AKBy0h9oJamIXgMkDXu0
0.846,0.53,-13.185,0.0397,0.116,0.215,0.0664,0.177,120.012,276485,1,01ANyeSipc6cj0jUx1AoHO
0.665,0.206,-15.878,0.77,0.0236,0.0,0.372,0.148,148.411,156547,3,01bD9sGrkGBMuRGGbTlqNV
0.488,0.237,-18.863,0.914,0.963,0.0,0.959,0.412,73.955,228173,3,01bPI9fUKRk60eFHVAe6FA
0.43,0.0862,-17.628,0.566,0.873,0.00027,0.296,0.261,80.154,688853,3,01cJ5wUOvrmEoEoEx3ayCu
0.586,0.389,-10.833,0.41,0.185,0.551,0.355,0.764,168.928,208400,1,01CjOyvc6AEJn3u3YUy9GQ
0.723,0.723,-5.522,0.0269,0.043,3.99e-05,0.326,0.694,109.988,215033,1,01dBLHq3UWyDRWDZJXj235
0.701,0.0879,-19.782,0.815,0.947,3.07e-06,0.18,0.541,104.654,94800,3,01Dv8STljMcHwmsmAoWtBe
0.418,0.995,-4.422,0.0714,0.000611,0.874,0.0888,0.135,140.005,232000,0,01E6MC9P3wDqL4GffZd3EG
0.539,0.855,-4.573,0.0603,0.0302,0.000105,0.12,0.367,173.971,263407,0,01eMF8CpbCNrSFbwaHTPJ1
0.766,0.563,-9.766,0.0396,0.422,0.102,0.142,0.706,93.079,149423,1,01EZT06EIdnVOLl96Parta
0.362,0.201,-18.255,0.0444,0.905,0.0745,0.0699,0.309,128.548,972507,2,01FmQEKWWUYeCstygKHeVv
0.584,0.975,-6.534,0.0651,0.141,0.501,0.101,0.876,138.341,535333,1,01gDLZsi0j5fWC28FLPNO8
0.451,0.567,-7.466,0.0322,0.00261,0.0,0.146,0.219,148.079,388133,0,01GHOdYIsJfrFBqsPpXd6k
0.725,0.804,-7.84,0.0393,0.426,0.000504,0.108,0.961,93.668,177427,1,01gwPP2h3ajRnqiIphUtR7
0.847,0.575,-5.65,0.181,0.0863,9.72e-05,0.0316,0.847,144.989,294373,1,01HLBYXB3OW74Nr4TUvcAZ
0.544,0.217,-13.815,0.0371,0.91,0.00296,0.12,0.348,117.693,294613,2,01J26T3XB19o21N7XV4npl
0.504,0.74,-7.233,0.0299,0.111,0.00315,0.279,0.727,143.988,265280,1,01J41gdoYXcJgBMv0VwaiH
0.651,0.556,-9.001,0.0395,0.000803,0.902,0.0528,0.141,121.001,356529,0,01J7GlzTYwAp0kHGwLrHiB
0.716,0.394,-9.866,0.252,0.134,0.0,0.0916,0.232,81.974,185869,2,01jaAUb9G0SVQ7flAGq79X
0.232,0.881,-4.723,0.214,0.146,0.0,0.172,0.312,203.39,235448,0,01JNL6P4M4hRPUWvK7Fr96
0.13,0.991,-3.126,0.0604,1.15e-05,0.00412,0.225,0.505,185.364,191332,0,01JszWYuKqRjddPQ4creVF
0.647,0.853,-4.516,0.0904,0.0615,0.0,0.062,0.618,103.846,189000,1,01k24g94i1JvkFLQmVEdCd
0.623,0.122,-27.995,0.9,0.922,2.87e-05,0.118,0.547,103.869,278813,3,01kPID5U7QJXvNhtUzWFxO
0.56,0.295,-12.574,0.0269,0.495,0.000183,0.126,0.19,137.732,168043,2,01LXrAtadc5KLDmINlg1yt
0.666,0.328,-12.45,0.926,0.615,5.57e-06,0.135,0.184,136.311,441640,3,01m1jBqqpBEXaqTE2ZNDI9
0.468,0.908,-4.376,0.0474,0.0712,0.000958,0.366,0.673,119.954,214147,0,01MFXstV5rfIUfIOOxam8W
0.388,0.72,-5.541,0.033,0.202,0.000288,0.283,0.554,141.283,341747,0,01MXkFA8sL7at6txavDErt
