danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster
0.212,0.155,-24.005,0.0315,0.957,0.943,0.0983,0.106,79.7,186000,4
0.75,0.56,-8.99,0.0313,0.0258,0.891,0.113,0.203,124.037,249919,0
0.558,0.57,-10.888,0.253,0.0568,0.0798,0.812,0.918,191.813,137509,0
0.765,0.769,-3.16,0.0595,0.167,0.0,0.0854,0.581,103.006,203057,1
0.86,0.468,-10.487,0.0936,0.386,0.244,0.103,0.974,129.974,129231,1
0.388,0.947,-4.367,0.0642,0.000221,0.00995,0.358,0.193,142.013,276560,0
0.45,0.563,-11.03,0.0301,0.59,0.0709,0.115,0.361,75.844,198280,2
0.433,0.267,-10.419,0.0469,0.681,0.0,0.0811,0.255,93.072,196365,2
0.593,0.207,-26.349,0.966,0.616,0.0,0.639,0.594,79.234,323156,3
0.608,0.174,-8.796,0.0332,0.851,1.92e-05,0.0855,0.193,112.175,260004,2
0.377,0.876,-5.417,0.0551,0.000172,0.0067,0.113,0.678,160.08,232400,0
0.818,0.456,-7.419,0.038,0.823,7.35e-05,0.127,0.784,113.992,183723,1
0.544,0.69,-5.723,0.0425,0.012,0.0095,0.0615,0.219,123.962,276147,0
0.53,0.968,-4.539,0.0833,0.00318,5.59e-06,0.211,0.359,124.941,263520,0
0.793,0.714,-7.562,0.193,0.156,0.0,0.136,0.794,100.036,168947,1
0.758,0.434,-9.804,0.518,0.604,0.0,0.164,0.721,115.287,200581,1
0.302,0.233,-17.735,0.0539,0.979,0.291,0.123,0.106,128.671,92387,4
0.602,0.128,-16.198,0.397,0.767,0.0,0.114,0.261,76.213,310133,2
0.222,0.85,-5.16,0.0404,0.000353,0.0466,0.0596,0.129,154.051,162028,0
0.62,0.132,-17.312,0.0496,0.95,0.912,0.117,0.46,92.914,189238,4
0.558,0.364,-8.663,0.0502,0.169,9.94e-05,0.109,0.252,129.17,160737,2
0.557,0.604,-5.606,0.0502,0.000133,0.0,0.15,0.248,97.398,178160,0
0.558,0.809,-7.441,0.0363,0.0963,0.86,0.149,0.0773,120.999,370779,0
0.622,0.564,-13.703,0.955,0.854,2.14e-06,0.593,0.585,80.317,80655,3
0.565,0.585,-5.723,0.0536,0.0265,0.0,0.274,0.259,140.8,210467,0
0.756,0.598,-7.512,0.208,0.285,2.97e-05,0.0933,0.733,166.127,174625,1
0.62,0.641,-7.593,0.0463,0.841,8.37e-05,0.204,0.94,83.459,156533,1
0.62,0.816,-7.701,0.133,0.482,0.0,0.0923,0.787,101.76,211373,1
0.678,0.897,-6.678,0.0799,0.0609,0.844,0.903,0.12,128.014,254053,0
0.72,0.748,-8.287,0.0431,8.83e-05,0.00874,0.0699,0.434,129.974,201769,1
0.701,0.802,-4.771,0.0451,0.00059,0.819,0.332,0.365,124.025,152131,0
0.672,0.369,-13.55,0.936,0.127,0.0,0.157,0.16,99.761,140333,3
0.61,0.489,-8.541,0.127,0.308,0.0,0.165,0.331,105.016,171890,2
0.61,0.394,-16.318,0.942,0.964,0.0,0.113,0.548,60.346,125813,3
0.615,0.858,-3.3,0.0396,0.00393,0.0,0.0789,0.323,97.038,227265,0
0.104,0.0949,-22.126,0.0387,0.98,0.826,0.11,0.0376,72.141,144000,4
0.524,0.422,-8.509,0.0272,0.71,0.00068,0.101,0.225,97.91,265773,2
0.656,0.0576,-26.049,0.517,0.902,0.0,0.309,0.413,110.623,1288413,3
0.764,0.6,-9.916,0.0467,0.0154,0.859,0.108,0.123,115.016,171137,0
0.908,0.79,-7.642,0.165,0.199,0.000161,0.0745,0.645,109.806,91733,1
0.596,0.658,-7.44,0.0337,0.258,0.000624,0.0975,0.956,88.842,269621,1
